["E0",""]
["N0",""]
["N1",""]
["W0",""]
("W0","mode 1",1,"W0",1,"transmission")
(500, 3)
1.4989622900000000e+14 3.5321695945222283e-02 -3.0665279202150715e+00
1.5019662224448897e+14 3.4854233888900125e-02 -3.0629228605089098e+00
1.5049701548897797e+14 3.4520506564266078e-02 -3.0575020343542261e+00
1.5079740873346694e+14 3.4238127392449878e-02 -3.0475931518550436e+00
1.5109780197795591e+14 3.3879971365269934e-02 -3.0326975890483943e+00
1.5139819522244488e+14 3.3333485836336836e-02 -3.0149078060704655e+00
1.5169858846693388e+14 3.2553513328635680e-02 -2.9983058976080916e+00
1.5199898171142284e+14 3.1591027920455629e-02 -2.9877008137911201e+00
1.5229937495591181e+14 3.0589270469245883e-02 -2.9869014250184800e+00
1.5259976820040081e+14 2.9743222927272061e-02 -2.9967248602489422e+00
1.5290016144488978e+14 2.9226438733508508e-02 -3.0135670753089632e+00
1.5320055468937875e+14 2.9110325005203355e-02 -3.0300293081320069e+00
1.5350094793386775e+14 2.9321642940823126e-02 -3.0380999336455670e+00
1.5380134117835672e+14 2.9668648457520593e-02 -3.0328708136260580e+00
1.5410173442284569e+14 2.9917351239798651e-02 -3.0141943900523627e+00
1.5440212766733466e+14 2.9872144707189761e-02 -2.9859928139322101e+00
1.5470252091182366e+14 2.9430768703261424e-02 -2.9546375242700949e+00
1.5500291415631262e+14 2.8608413936756737e-02 -2.9274199633240365e+00
1.5530330740080159e+14 2.7534990040554815e-02 -2.9111220868843120e+00
1.5560370064529059e+14 2.6426177817961402e-02 -2.9102262578974534e+00
1.5590409388977956e+14 2.5524600500134307e-02 -2.9247029106643896e+00
1.5620448713426853e+14 2.5015683663148620e-02 -2.9486400583278036e+00
1.5650488037875750e+14 2.4950149285299057e-02 -2.9719057759760732e+00
1.5680527362324650e+14 2.5223937361311208e-02 -2.9849067121915662e+00
1.5710566686773547e+14 2.5632722806877634e-02 -2.9828668823442710e+00
1.5740606011222444e+14 2.5960122548299974e-02 -2.9666494836399457e+00
1.5770645335671344e+14 2.6048275456441970e-02 -2.9409488110582274e+00
1.5800684660120241e+14 2.5831565506688057e-02 -2.9120355659622001e+00
1.5830723984569138e+14 2.5338812785547584e-02 -2.8860355307798815e+00
1.5860763309018038e+14 2.4673221871683939e-02 -2.8676407157167381e+00
1.5890802633466934e+14 2.3976073094213044e-02 -2.8590167999598650e+00
1.5920841957915831e+14 2.3380339499134664e-02 -2.8591096901065205e+00
1.5950881282364728e+14 2.2966711511164795e-02 -2.8639814939351860e+00
1.5980920606813628e+14 2.2740522685051372e-02 -2.8685038375386593e+00
1.6010959931262525e+14 2.2641824082683122e-02 -2.8686367761855567e+00
1.6040999255711422e+14 2.2581673092387722e-02 -2.8628910949611162e+00
1.6071038580160322e+14 2.2483191713455961e-02 -2.8523062824293888e+00
1.6101077904609219e+14 2.2308489655691120e-02 -2.8393762208372690e+00
1.6131117229058116e+14 2.2064350621037856e-02 -2.8266853249407844e+00
1.6161156553507012e+14 2.1789082685771888e-02 -2.8157823263670529e+00
1.6191195877955912e+14 2.1528040886192978e-02 -2.8066088214348879e+00
1.6221235202404809e+14 2.1308422936781642e-02 -2.7976889888168550e+00
1.6251274526853706e+14 2.1124597033387111e-02 -2.7870332169105141e+00
1.6281313851302606e+14 2.0940736621856647e-02 -2.7733107831487915e+00
1.6311353175751503e+14 2.0708715174574246e-02 -2.7566735073394484e+00
1.6341392500200400e+14 2.0391941141094022e-02 -2.7388718544771287e+00
1.6371431824649300e+14 1.9984590955790020e-02 -2.7227025765266224e+00
1.6401471149098197e+14 1.9519041072952506e-02 -2.7110147637910447e+00
1.6431510473547094e+14 1.9058463573229902e-02 -2.7055224695087623e+00
1.6461549797995991e+14 1.8675545183377173e-02 -2.7057789902548701e+00
1.6491589122444891e+14 1.8423622641335236e-02 -2.7088814390740676e+00
1.6521628446893788e+14 1.8312555022958334e-02 -2.7103814268622135e+00
1.6551667771342684e+14 1.8302446587212147e-02 -2.7061292123181886e+00
1.6581707095791584e+14 1.8319102374514892e-02 -2.6939741327181079e+00
1.6611746420240481e+14 1.8282270574657589e-02 -2.6743977311971951e+00
1.6641785744689378e+14 1.8132835239463192e-02 -2.6500548302598013e+00
1.6671825069138275e+14 1.7849600935556660e-02 -2.6247584988697721e+00
1.6701864393587175e+14 1.7452792921175384e-02 -2.6023527155272732e+00
1.6731903718036072e+14 1.6995137552637235e-02 -2.5856519936919575e+00
1.6761943042484969e+14 1.6543214294930303e-02 -2.5755836808983528e+00
1.6791982366933869e+14 1.6154136232744160e-02 -2.5708378355027039e+00
1.6822021691382766e+14 1.5855823110021188e-02 -2.5683853984818219e+00
1.6852061015831662e+14 1.5639863013885275e-02 -2.5648252588573341e+00
1.6882100340280562e+14 1.5470579707988865e-02 -2.5578736865379539e+00
1.6912139664729459e+14 1.5304878071155754e-02 -2.5471491513351867e+00
1.6942178989178356e+14 1.5112209131503757e-02 -2.5339458829427248e+00
1.6972218313627256e+14 1.4885817098517311e-02 -2.5202961895717122e+00
1.7002257638076153e+14 1.4641743127982363e-02 -2.5078233337572464e+00
1.7032296962525050e+14 1.4407020777549294e-02 -2.4968442449654642e+00
1.7062336286973947e+14 1.4202450397445148e-02 -2.4861197547333638e+00
1.7092375611422847e+14 1.4028118000216354e-02 -2.4734658351610399e+00
1.7122414935871744e+14 1.3859383182279373e-02 -2.4569958266862217e+00
1.7152454260320641e+14 1.3655957098678499e-02 -2.4363410592279626e+00
1.7182493584769538e+14 1.3379853070119751e-02 -2.4132422236408768e+00
1.7212532909218438e+14 1.3014397503487079e-02 -2.3913282314966779e+00
1.7242572233667334e+14 1.2577246040999770e-02 -2.3751871620269713e+00
1.7272611558116231e+14 1.2122469549510724e-02 -2.3688015602042389e+00
1.7302650882565131e+14 1.1728143100173583e-02 -2.3734571209787005e+00
1.7332690207014028e+14 1.1468666182886269e-02 -2.3858804801570117e+00
1.7362729531462925e+14 1.1379768216001722e-02 -2.3983198868804836e+00
1.7392768855911825e+14 1.1435562277090123e-02 -2.4016551527485110e+00
1.7422808180360722e+14 1.1554646069074465e-02 -2.3897166480094230e+00
1.7452847504809619e+14 1.1631176322421024e-02 -2.3616149329447182e+00
1.7482886829258519e+14 1.1571149436045763e-02 -2.3213018596236434e+00
1.7512926153707416e+14 1.1319120988105856e-02 -2.2759542225334917e+00
1.7542965478156312e+14 1.0872463906983893e-02 -2.2345294096106199e+00
1.7573004802605209e+14 1.0285335156854963e-02 -2.2065258215778254e+00
1.7603044127054109e+14 9.6624449130690241e-03 -2.2000127597578216e+00
1.7633083451503006e+14 9.1373251101915121e-03 -2.2178685431770986e+00
1.7663122775951903e+14 8.8281592350232495e-03 -2.2532274870434383e+00
1.7693162100400800e+14 8.7811307889570922e-03 -2.2894831857180007e+00
1.7723201424849700e+14 8.9418547025679231e-03 -2.3088183428309939e+00
1.7753240749298597e+14 9.1847184175893604e-03 -2.3020410328651049e+00
1.7783280073747494e+14 9.3725044201872585e-03 -2.2704977124182091e+00
1.7813319398196394e+14 9.4020888897211573e-03 -2.2220734701096885e+00
1.7843358722645291e+14 9.2243672623624675e-03 -2.1672691239749962e+00
1.7873398047094188e+14 8.8476192857662381e-03 -2.1172353520579228e+00
1.7903437371543088e+14 8.3326481963971310e-03 -2.0827334644050923e+00
1.7933476695991984e+14 7.7811505808298735e-03 -2.0723634257660630e+00
1.7963516020440881e+14 7.3127276427013312e-03 -2.0888018920808031e+00
1.7993555344889781e+14 7.0254860419062259e-03 -2.1243435990638040e+00
1.8023594669338678e+14 6.9511343380186455e-03 -2.1616026692242891e+00
1.8053633993787575e+14 7.0390900728152656e-03 -2.1828929682192380e+00
1.8083673318236472e+14 7.1882802511786864e-03 -2.1799072316234072e+00
1.8113712642685372e+14 7.2974386356800935e-03 -2.1547979426108808e+00
1.8143751967134269e+14 7.2986433940785437e-03 -2.1156571266839643e+00
1.8173791291583166e+14 7.1681351255761718e-03 -2.0723599317371471e+00
1.8203830616032062e+14 6.9232909834798448e-03 -2.0342546101150174e+00
1.8233869940480962e+14 6.6123125754096396e-03 -2.0086503260929174e+00
1.8263909264929859e+14 6.2984489353008922e-03 -1.9991298484236530e+00
1.8293948589378756e+14 6.0394972552085631e-03 -2.0039053360558889e+00
1.8323987913827656e+14 5.8672348226189103e-03 -2.0158880273747743e+00
1.8354027238276553e+14 5.7770312023640588e-03 -2.0258928139671690e+00
1.8384066562725450e+14 5.7353485219733304e-03 -2.0273243195995656e+00
1.8414105887174350e+14 5.6999894404953606e-03 -2.0187540718300681e+00
1.8444145211623247e+14 5.6396817710610940e-03 -2.0031972348834803e+00
1.8474184536072144e+14 5.5441499374099248e-03 -1.9856903814303164e+00
1.8504223860521044e+14 5.4236841324578821e-03 -1.9707903654759986e+00
1.8534263184969941e+14 5.3007814814205268e-03 -1.9606420901290178e+00
1.8564302509418838e+14 5.1974727784480871e-03 -1.9540488026249576e+00
1.8594341833867738e+14 5.1234034444548196e-03 -1.9471259732658999e+00
1.8624381158316634e+14 5.0705215227894035e-03 -1.9355118797498720e+00
1.8654420482765531e+14 5.0172477234858778e-03 -1.9168787860132956e+00
1.8684459807214428e+14 4.9392877820989634e-03 -1.8922366682342322e+00
1.8714499131663325e+14 4.8211081406396745e-03 -1.8656443074974127e+00
1.8744538456112225e+14 4.6634708059172447e-03 -1.8428807701594598e+00
1.8774577780561122e+14 4.4850853865673768e-03 -1.8295366259665444e+00
1.8804617105010019e+14 4.3177178108240186e-03 -1.8286268169777120e+00
1.8834656429458919e+14 4.1948090166361324e-03 -1.8382526036071121e+00
1.8864695753907816e+14 4.1364767099586770e-03 -1.8510697281490014e+00
1.8894735078356712e+14 4.1386322706209516e-03 -1.8572478033319211e+00
1.8924774402805612e+14 4.1741146727290960e-03 -1.8494383267232501e+00
1.8954813727254509e+14 4.2050383799264518e-03 -1.8258553944297082e+00
1.8984853051703406e+14 4.1976784871117110e-03 -1.7899571339954776e+00
1.9014892376152306e+14 4.1328120135684021e-03 -1.7484133681129344e+00
1.9044931700601203e+14 4.0099583317633270e-03 -1.7090917079164623e+00
1.9074971025050100e+14 3.8465835031190466e-03 -1.6793597304922867e+00
1.9105010349499000e+14 3.6730395222126740e-03 -1.6642232212001011e+00
1.9135049673947897e+14 3.5233142098064943e-03 -1.6641621624751484e+00
