["port 1",""]
["port 2",""]
["port 3",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(500, 3)
1.4989622900000000e+14 4.6541134087747515e-02 1.9842881289570633e+00
1.5019662224448897e+14 7.6372795006835581e-02 2.3997086499798197e+00
1.5049701548897797e+14 9.6480900843275152e-02 2.7732688134452577e+00
1.5079740873346694e+14 1.0524359038571118e-01 3.1339932517438065e+00
1.5109780197795591e+14 1.0223946021653248e-01 3.4914278122743125e+00
1.5139819522244488e+14 8.8046036355330093e-02 3.8522455435547016e+00
1.5169858846693388e+14 6.4199581183603818e-02 4.2253671603707588e+00
1.5199898171142284e+14 3.3260337614753492e-02 4.6423496725248992e+00
1.5229937495591181e+14 4.1652708221244471e-03 6.8961913155943231e+00
1.5259976820040081e+14 3.6320184120729994e-02 8.3092528990046688e+00
1.5290016144488978e+14 6.5887743809893692e-02 8.7404393508189120e+00
1.5320055468937875e+14 8.6804956104476125e-02 9.1487216018080364e+00
1.5350094793386775e+14 9.6024804828129182e-02 9.5607328472054949e+00
1.5380134117835672e+14 9.2035516867255487e-02 9.9874177183684356e+00
1.5410173442284569e+14 7.5221612084120607e-02 1.0446383876431474e+01
1.5440212766733466e+14 4.8290966681764511e-02 1.0999233663139357e+01
1.5470252091182366e+14 2.0099858485887575e-02 1.2109999988709323e+01
1.5500291415631262e+14 3.2603525849181740e-02 1.4041317012522413e+01
1.5530330740080159e+14 6.3703168936096760e-02 1.4759709661296135e+01
1.5560370064529059e+14 8.8474673022119657e-02 1.5275660038430233e+01
1.5590409388977956e+14 1.0197425021749708e-01 1.5751749787615470e+01
1.5620448713426853e+14 1.0237857849483607e-01 1.6225682918150103e+01
1.5650488037875750e+14 9.0124477635079928e-02 1.6724614206253669e+01
1.5680527362324650e+14 6.7987655073053349e-02 1.7301216938853798e+01
1.5710566686773547e+14 4.2928382879865133e-02 1.8129056370577327e+01
1.5740606011222444e+14 3.5550223296330362e-02 1.9515113726085787e+01
1.5770645335671344e+14 5.6645630650476952e-02 2.0595439807754751e+01
1.5800684660120241e+14 8.1405587025963622e-02 2.1266929996784516e+01
