["port 1",""]
["port 2",""]
["port 3",""]
["port 4",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(500, 3)
1.4989622900000000e+14 9.5226998587477227e-02 2.4924645474505343e+00
1.5019662224448897e+14 1.1783893408824722e-01 3.1512817760402179e+00
1.5049701548897797e+14 9.8943560295548239e-02 3.8397653990522267e+00
1.5079740873346694e+14 4.5037251942977870e-02 4.7356189256803116e+00
1.5109780197795591e+14 3.9334674006140602e-02 7.5865440958004928e+00
1.5139819522244488e+14 1.0406515898774248e-01 8.5809240342839743e+00
1.5169858846693388e+14 1.4031288502135669e-01 9.3265662043309518e+00
1.5199898171142284e+14 1.3280116227547553e-01 1.0081739402643633e+01
1.5229937495591181e+14 8.5485381999622870e-02 1.0991467357037370e+01
1.5259976820040081e+14 4.4309687754039234e-02 1.2854966082275906e+01
1.5290016144488978e+14 9.4661889255181778e-02 1.4537897006291100e+01
1.5320055468937875e+14 1.4072083990393713e-01 1.5459508063369878e+01
1.5350094793386775e+14 1.4509781513044703e-01 1.6311402614500945e+01
1.5380134117835672e+14 1.0899417969908548e-01 1.7298088302177096e+01
1.5410173442284569e+14 7.3334692344719704e-02 1.8842913856379102e+01
1.5440212766733466e+14 1.0770011615461675e-01 2.0469448975546936e+01
1.5470252091182366e+14 1.5418592577605586e-01 2.1513990520325532e+01
1.5500291415631262e+14 1.6392137435421728e-01 2.2422587448273639e+01
1.5530330740080159e+14 1.3135045147833632e-01 2.3413264130979499e+01
1.5560370064529059e+14 8.8935036713331250e-02 2.4825595884711635e+01
1.5590409388977956e+14 1.1040788406496255e-01 2.6516386066877050e+01
1.5620448713426853e+14 1.6073820325539087e-01 2.7669291791228336e+01
1.5650488037875750e+14 1.7926560496584518e-01 2.8632845420408728e+01
1.5680527362324650e+14 1.5459638714642010e-01 2.9645088257778184e+01
1.5710566686773547e+14 1.1400163733839409e-01 3.0960210104601575e+01
1.5740606011222444e+14 1.2226399685865076e-01 3.2563500620294953e+01
1.5770645335671344e+14 1.6714580533254655e-01 3.3798445699007381e+01
1.5800684660120241e+14 1.8746433203815122e-01 3.4812709925506844e+01
1.5830723984569138e+14 1.6559677519421512e-01 3.5843515398919898e+01
1.5860763309018038e+14 1.2431163510881976e-01 3.7129485630393795e+01
1.5890802633466934e+14 1.2581315374510474e-01 3.8719303545039622e+01
1.5920841957915831e+14 1.6965748304155301e-01 4.0000974604538200e+01
1.5950881282364728e+14 1.9454133015070177e-01 4.1038128874600389e+01
1.5980920606813628e+14 1.7834763801052039e-01 4.2060872965399987e+01
1.6010959931262525e+14 1.3742058110205077e-01 4.3272096509061271e+01
1.6040999255711422e+14 1.2478783527806805e-01 4.4795489115282663e+01
1.6071038580160322e+14 1.5832506790893824e-01 4.6147697088371864e+01
1.6101077904609219e+14 1.8413196574275215e-01 4.7231319687481943e+01
1.6131117229058116e+14 1.7454864077064389e-01 4.8270336825358513e+01
1.6161156553507012e+14 1.4031790521511692e-01 4.9462991671982785e+01
