["N0",""]
["N1",""]
["W0",""]
["E0",""]
("W0","mode 1",1,"W0",1,"transmission")
(500, 3)
1.4989622900000000e+14 3.5477852266209503e-02 -3.0715340849927557e+00
1.5019662224448897e+14 3.5078722307143928e-02 -3.0607033333064186e+00
1.5049701548897797e+14 3.4602990707470145e-02 -3.0488148883662869e+00
1.5079740873346694e+14 3.4044771344448777e-02 -3.0370669697991475e+00
1.5109780197795591e+14 3.3417442169272962e-02 -3.0266599169026169e+00
1.5139819522244488e+14 3.2750629347159048e-02 -3.0185732173940845e+00
1.5169858846693388e+14 3.2084250067197860e-02 -3.0133628869317568e+00
1.5199898171142284e+14 3.1460427790862673e-02 -3.0110139707733099e+00
1.5229937495591181e+14 3.0914605550808154e-02 -3.0108964380472751e+00
1.5259976820040081e+14 3.0467713385554259e-02 -3.0118662061480554e+00
1.5290016144488978e+14 3.0121402061500397e-02 -3.0125124617445476e+00
1.5320055468937875e+14 2.9857753616294700e-02 -3.0114906163835924e+00
1.5350094793386775e+14 2.9643567598001231e-02 -3.0078373685816739e+00
1.5380134117835672e+14 2.9437909341252653e-02 -3.0011741555209666e+00
1.5410173442284569e+14 2.9200820695966502e-02 -2.9917596070827801e+00
1.5440212766733466e+14 2.8901187673702814e-02 -2.9804092123749997e+00
1.5470252091182366e+14 2.8522413662282555e-02 -2.9683280619596752e+00
1.5500291415631262e+14 2.8065262802515849e-02 -2.9568982943402573e+00
1.5530330740080159e+14 2.7547722014900054e-02 -2.9474456397017845e+00
1.5560370064529059e+14 2.7001977655087227e-02 -2.9409990700069075e+00
1.5590409388977956e+14 2.6468787177234505e-02 -2.9380645899604447e+00
1.5620448713426853e+14 2.5989853748846808e-02 -2.9384568501726069e+00
1.5650488037875750e+14 2.5599375945011580e-02 -2.9412538400372048e+00
1.5680527362324650e+14 2.5316574390671434e-02 -2.9449318379582441e+00
1.5710566686773547e+14 2.5141228336116421e-02 -2.9476806878855482e+00
1.5740606011222444e+14 2.5053632694466272e-02 -2.9478144918693747e+00
1.5770645335671344e+14 2.5018982939930452e-02 -2.9441405097406177e+00
1.5800684660120241e+14 2.4994745794790402e-02 -2.9361739032788021e+00
1.5830723984569138e+14 2.4938885174707631e-02 -2.9241665641877290e+00
1.5860763309018038e+14 2.4817074652777677e-02 -2.9089917852208731e+00
1.5890802633466934e+14 2.4607798886230509e-02 -2.8919527006327490e+00
1.5920841957915831e+14 2.4304978889908513e-02 -2.8745673270915648e+00
1.5950881282364728e+14 2.3918184701111643e-02 -2.8583546021655226e+00
1.5980920606813628e+14 2.3470652360506973e-02 -2.8446262175855188e+00
1.6010959931262525e+14 2.2995362499614133e-02 -2.8342872571403519e+00
1.6040999255711422e+14 2.2529536273997817e-02 -2.8276639492191555e+00
1.6071038580160322e+14 2.2108171527481749e-02 -2.8244003006808787e+00
1.6101077904609219e+14 2.1757657574109947e-02 -2.8234784898729224e+00
1.6131117229058116e+14 2.1490855694865574e-02 -2.8233983620820697e+00
1.6161156553507012e+14 2.1304966947912375e-02 -2.8224933792062252e+00
1.6191195877955912e+14 2.1182824974027674e-02 -2.8192935335784828e+00
1.6221235202404809e+14 2.1097177094788325e-02 -2.8128196358964175e+00
1.6251274526853706e+14 2.1016626650894762e-02 -2.8027298942195906e+00
1.6281313851302606e+14 2.0911651436031999e-02 -2.7893090644183682e+00
1.6311353175751503e+14 2.0759464280453884e-02 -2.7733437203244171e+00
1.6341392500200400e+14 2.0547081225285792e-02 -2.7559413171278946e+00
1.6371431824649300e+14 2.0272470480567902e-02 -2.7383361951183316e+00
1.6401471149098197e+14 1.9943945538290458e-02 -2.7217045512018481e+00
1.6431510473547094e+14 1.9578087383358332e-02 -2.7069976716094137e+00
1.6461549797995991e+14 1.9196542354800034e-02 -2.6948024063008886e+00
1.6491589122444891e+14 1.8822130344622420e-02 -2.6852461570253512e+00
1.6521628446893788e+14 1.8474836290631208e-02 -2.6779716752897134e+00
1.6551667771342684e+14 1.8168389325321586e-02 -2.6722037082079746e+00
1.6581707095791584e+14 1.7908138018003162e-02 -2.6669082815194676e+00
1.6611746420240481e+14 1.7690700119677990e-02 -2.6610120550500094e+00
1.6641785744689378e+14 1.7505416469554985e-02 -2.6536227315821392e+00
1.6671825069138275e+14 1.7337144779104845e-02 -2.6441904468564048e+00
1.6701864393587175e+14 1.7169615298228275e-02 -2.6325755792065628e+00
1.6731903718036072e+14 1.6988550454052613e-02 -2.6190233274841681e+00
1.6761943042484969e+14 1.6783965292613230e-02 -2.6040702299533329e+00
1.6791982366933869e+14 1.6551364908806845e-02 -2.5884152235047999e+00
1.6822021691382766e+14 1.6291815740426017e-02 -2.5727830516100130e+00
1.6852061015831662e+14 1.6011044865232794e-02 -2.5577998517132303e+00
1.6882100340280562e+14 1.5717829449342694e-02 -2.5438953289609256e+00
1.6912139664729459e+14 1.5422006740781312e-02 -2.5312436180587756e+00
1.6942178989178356e+14 1.5132476417499997e-02 -2.5197527176045362e+00
1.6972218313627256e+14 1.4855568732498742e-02 -2.5091065218869932e+00
1.7002257638076153e+14 1.4594087330150574e-02 -2.4988526555454036e+00
1.7032296962525050e+14 1.4347191943268365e-02 -2.4885165390571515e+00
1.7062336286973947e+14 1.4111087972957466e-02 -2.4777135364570624e+00
1.7092375611422847e+14 1.3880297984939800e-02 -2.4662317202986208e+00
1.7122414935871744e+14 1.3649170067496915e-02 -2.4540676878222141e+00
1.7152454260320641e+14 1.3413262365269784e-02 -2.4414119050501362e+00
1.7182493584769538e+14 1.3170318133771588e-02 -2.4285921450524541e+00
1.7212532909218438e+14 1.2920669346798341e-02 -2.4159905513900526e+00
1.7242572233667334e+14 1.2667038010182098e-02 -2.4039521899409246e+00
1.7272611558116231e+14 1.2413819107734172e-02 -2.3927027540260450e+00
1.7302650882565131e+14 1.2166019300400508e-02 -2.3822916350053958e+00
1.7332690207014028e+14 1.1928086747823394e-02 -2.3725733197257686e+00
1.7362729531462925e+14 1.1702890039525338e-02 -2.3632335425214994e+00
1.7392768855911825e+14 1.1491074681651954e-02 -2.3538564376309004e+00
1.7422808180360722e+14 1.1290938603645953e-02 -2.3440175201861781e+00
1.7452847504809619e+14 1.1098839853211757e-02 -2.3333793425109111e+00
1.7482886829258519e+14 1.0910018093773099e-02 -2.3217661271641554e+00
1.7512926153707416e+14 1.0719619695714762e-02 -2.3092008470023830e+00
1.7542965478156312e+14 1.0523689177333026e-02 -2.2958993944592039e+00
1.7573004802605209e+14 1.0319924069737993e-02 -2.2822267411243824e+00
1.7603044127054109e+14 1.0108062293487933e-02 -2.2686263827544093e+00
1.7633083451503006e+14 9.8898542155385627e-03 -2.2555369141517132e+00
1.7663122775951903e+14 9.6686483964499512e-03 -2.2433100005745654e+00
1.7693162100400800e+14 9.4486840895874405e-03 -2.2321437496842891e+00
1.7723201424849700e+14 9.2342328265409643e-03 -2.2220444866883757e+00
1.7753240749298597e+14 9.0287613463145393e-03 -2.2128267626535831e+00
1.7783280073747494e+14 8.8342892097796125e-03 -2.2041546295089538e+00
1.7813319398196394e+14 8.6510773231936056e-03 -2.1956171798930519e+00
1.7843358722645291e+14 8.4777089102501691e-03 -2.1868212095250779e+00
1.7873398047094188e+14 8.3115295707098281e-03 -2.1774781811120683e+00
1.7903437371543088e+14 8.1493276413045143e-03 -2.1674644140254391e+00
1.7933476695991984e+14 7.9880874699465500e-03 -2.1568417144846186e+00
1.7963516020440881e+14 7.8256472552330324e-03 -2.1458364785682562e+00
1.7993555344889781e+14 7.6611313796589439e-03 -2.1347844271652252e+00
1.8023594669338678e+14 7.4950860204504952e-03 -2.1240536121774669e+00
1.8053633993787575e+14 7.3293090632646010e-03 -2.1139606738680490e+00
1.8083673318236472e+14 7.1664211760849202e-03 -2.1046959310257494e+00
1.8113712642685372e+14 7.0092703680620354e-03 -2.0962723230949054e+00
1.8143751967134269e+14 6.8602941092298407e-03 -2.0885106204071260e+00
1.8173791291583166e+14 6.7209747074188459e-03 -2.0810672071043532e+00
1.8203830616032062e+14 6.5915072097863531e-03 -2.0735009119783752e+00
1.8233869940480962e+14 6.4707518513993463e-03 -2.0653643103657977e+00
1.8263909264929859e+14 6.3564741410361116e-03 -2.0562972415363729e+00
1.8293948589378756e+14 6.2458058467816839e-03 -2.0460998323075059e+00
1.8323987913827656e+14 6.1358124213640539e-03 -2.0347693068719059e+00
1.8354027238276553e+14 6.0240397706777474e-03 -2.0224956737816338e+00
1.8384066562725450e+14 5.9089332906441866e-03 -2.0096212387705665e+00
1.8414105887174350e+14 5.7900615897927719e-03 -1.9965748996666970e+00
1.8444145211623247e+14 5.6681216339845054e-03 -1.9837942964994002e+00
1.8474184536072144e+14 5.5447416778015048e-03 -1.9716487658265711e+00
1.8504223860521044e+14 5.4221297798099392e-03 -1.9603752132698788e+00
1.8534263184969941e+14 5.3026384101143966e-03 -1.9500377588492359e+00
1.8564302509418838e+14 5.1883285339567094e-03 -1.9405193870692317e+00
1.8594341833867738e+14 5.0806164327200911e-03 -1.9315486829030253e+00
1.8624381158316634e+14 4.9800699109503683e-03 -1.9227570744913882e+00
1.8654420482765531e+14 4.8863875246700295e-03 -1.9137538723151202e+00
1.8684459807214428e+14 4.7985518030301613e-03 -1.9042011711976410e+00
1.8714499131663325e+14 4.7151074916569561e-03 -1.8938710095341935e+00
1.8744538456112225e+14 4.6344911019948597e-03 -1.8826730686480655e+00
1.8774577780561122e+14 4.5553348471589986e-03 -1.8706499815619089e+00
1.8804617105010019e+14 4.4766842156787057e-03 -1.8579454991194342e+00
1.8834656429458919e+14 4.3980959791201264e-03 -1.8447560042855258e+00
1.8864695753907816e+14 4.3196133385388653e-03 -1.8312777140349701e+00
1.8894735078356712e+14 4.2416405502468035e-03 -1.8176610966687896e+00
1.8924774402805612e+14 4.1647571060544177e-03 -1.8039814496428341e+00
1.8954813727254509e+14 4.0895197403739442e-03 -1.7902307598663929e+00
1.8984853051703406e+14 4.0162986149056036e-03 -1.7763312600057592e+00
1.9014892376152306e+14 3.9451825135229657e-03 -1.7621661483729314e+00
1.9044931700601203e+14 3.8759690981220321e-03 -1.7476188929676297e+00
1.9074971025050100e+14 3.8082346650496284e-03 -1.7326106534317121e+00
1.9105010349499000e+14 3.7414589941818020e-03 -1.7171263134195760e+00
1.9135049673947897e+14 3.6751696011482946e-03 -1.7012230624874574e+00
1.9165088998396794e+14 3.6090682208533027e-03 -1.6850201718539011e+00
1.9195128322845691e+14 3.5431098323559303e-03 -1.6686731359283835e+00
1.9225167647294588e+14 3.4775179777980134e-03 -1.6523386821647486e+00
1.9255206971743488e+14 3.4127358154709508e-03 -1.6361388653004403e+00
1.9285246296192384e+14 3.3493269199309202e-03 -1.6201325141333462e+00
1.9315285620641281e+14 3.2878506497923199e-03 -1.6043007379334253e+00
1.9345324945090181e+14 3.2287419753141409e-03 -1.5885501277285352e+00
1.9375364269539078e+14 3.1722238292311981e-03 -1.5727330912306319e+00
1.9405403593987975e+14 3.1182714400282141e-03 -1.5566803423504201e+00
1.9435442918436875e+14 3.0666346292868322e-03 -1.5402372435599665e+00
1.9465482242885772e+14 3.0169092531768696e-03 -1.5232946680298198e+00
1.9495521567334669e+14 2.9686369957110021e-03 -1.5058067377726900e+00
1.9525560891783569e+14 2.9214068021337389e-03 -1.4877916027680227e+00
1.9555600216232466e+14 2.8749325471806447e-03 -1.4693160555538252e+00
1.9585639540681362e+14 2.8290890697908106e-03 -1.4504688795370508e+00
1.9615678865130262e+14 2.7839000618977063e-03 -1.4313304946792633e+00
1.9645718189579159e+14 2.7394836046625002e-03 -1.4119472878623216e+00
1.9675757514028056e+14 2.6959717107347247e-03 -1.3923179264843113e+00
1.9705796838476953e+14 2.6534268183359480e-03 -1.3723960986848032e+00
1.9735836162925850e+14 2.6117792275930306e-03 -1.3521099546787811e+00
1.9765875487374750e+14 2.5708044778925613e-03 -1.3313939450659638e+00
1.9795914811823647e+14 2.5301496424418642e-03 -1.3102250270870790e+00
1.9825954136272544e+14 2.4894049796999698e-03 -1.2886535075607430e+00
1.9855993460721444e+14 2.4482056578154728e-03 -1.2668196182902267e+00
1.9886032785170341e+14 2.4063403128808882e-03 -1.2449498819200002e+00
1.9916072109619238e+14 2.3638406224299204e-03 -1.2233314425078206e+00
1.9946111434068138e+14 2.3210289234964583e-03 -1.2022668591191707e+00
1.9976150758517034e+14 2.2785082223941910e-03 -1.1820159046020067e+00
2.0006190082965931e+14 2.2370895027188156e-03 -1.1627345367084143e+00
2.0036229407414831e+14 2.1976638408535650e-03 -1.1444240693341969e+00
2.0066268731863728e+14 2.1610399432916787e-03 -1.1269045817989602e+00
