["N0",""]
["N1",""]
["W0",""]
["E0",""]
("W0","mode 1",1,"W0",1,"transmission")
(500, 3)
1.4989622900000000e+14 3.4958333404523062e-02 -3.0749016338848305e+00
1.5019662224448897e+14 3.4247145155563916e-02 -3.0591676933013456e+00
1.5049701548897797e+14 3.3401612863103600e-02 -3.0482170058107809e+00
1.5079740873346694e+14 3.2525287293940115e-02 -3.0440388698067227e+00
1.5109780197795591e+14 3.1739709522964357e-02 -3.0469371154095080e+00
1.5139819522244488e+14 3.1150049302497256e-02 -3.0551150114157846e+00
1.5169858846693388e+14 3.0811514132418057e-02 -3.0649811476191848e+00
1.5199898171142284e+14 3.0710385234036672e-02 -3.0722921501935172e+00
1.5229937495591181e+14 3.0769384306151837e-02 -3.0736436544592540e+00
1.5259976820040081e+14 3.0874658479027848e-02 -3.0675202648085746e+00
1.5290016144488978e+14 3.0911226488992301e-02 -3.0544949947915301e+00
1.5320055468937875e+14 3.0793326095705290e-02 -3.0367587784564525e+00
1.5350094793386775e+14 3.0482561109769265e-02 -3.0173808700334543e+00
1.5380134117835672e+14 2.9992723232801877e-02 -2.9995607919971268e+00
1.5410173442284569e+14 2.9382730882841646e-02 -2.9859424656323057e+00
1.5440212766733466e+14 2.8739672318886071e-02 -2.9780056553716099e+00
1.5470252091182366e+14 2.8154794754721379e-02 -2.9756345460504430e+00
1.5500291415631262e+14 2.7697650276754755e-02 -2.9770786642186624e+00
1.5530330740080159e+14 2.7396382156030838e-02 -2.9794841547497741e+00
1.5560370064529059e+14 2.7231952414644600e-02 -2.9798853575139042e+00
1.5590409388977956e+14 2.7148721967362944e-02 -2.9762128823586949e+00
1.5620448713426853e+14 2.7076100399031383e-02 -2.9678523047417116e+00
1.5650488037875750e+14 2.6951841378707535e-02 -2.9556055255338864e+00
1.5680527362324650e+14 2.6739087844859569e-02 -2.9412258148805375e+00
1.5710566686773547e+14 2.6433504677649447e-02 -2.9267835553048975e+00
1.5740606011222444e+14 2.6060378732750886e-02 -2.9140457412493395e+00
1.5770645335671344e+14 2.5663601122296213e-02 -2.9039816538304009e+00
1.5800684660120241e+14 2.5289836374697710e-02 -2.8964993142767064e+00
1.5830723984569138e+14 2.4972525926236975e-02 -2.8905168587711341e+00
1.5860763309018038e+14 2.4721031963455858e-02 -2.8843924091832474e+00
1.5890802633466934e+14 2.4518883672761369e-02 -2.8765695996997800e+00
1.5920841957915831e+14 2.4331516204184323e-02 -2.8661665544028736e+00
1.5950881282364728e+14 2.4119961715101567e-02 -2.8532706655225919e+00
1.5980920606813628e+14 2.3855056733531835e-02 -2.8388679342433711e+00
1.6010959931262525e+14 2.3527453259340674e-02 -2.8244870441140981e+00
1.6040999255711422e+14 2.3150785870790416e-02 -2.8116923192023240e+00
1.6071038580160322e+14 2.2757412845822274e-02 -2.8015545364793457e+00
1.6101077904609219e+14 2.2387906417370696e-02 -2.7942326485351656e+00
1.6131117229058116e+14 2.2077213803993249e-02 -2.7888191709579644e+00
1.6161156553507012e+14 2.1841998035312778e-02 -2.7835686918016216e+00
1.6191195877955912e+14 2.1673998668274179e-02 -2.7764807359151082e+00
1.6221235202404809e+14 2.1542221781615356e-02 -2.7660087331761738e+00
1.6251274526853706e+14 2.1402990459254465e-02 -2.7515883706514104e+00
1.6281313851302606e+14 2.1213734165181356e-02 -2.7337998171941189e+00
1.6311353175751503e+14 2.0945683058159449e-02 -2.7141763977197417e+00
1.6341392500200400e+14 2.0591986506423143e-02 -2.6947839991562250e+00
1.6371431824649300e+14 2.0169642234079382e-02 -2.6776925863402368e+00
1.6401471149098197e+14 1.9715038562052343e-02 -2.6644257195973755e+00
1.6431510473547094e+14 1.9273987096494711e-02 -2.6554832071008274e+00
1.6461549797995991e+14 1.8888414812148341e-02 -2.6500889821594735e+00
1.6491589122444891e+14 1.8583471248586680e-02 -2.6463366280820613e+00
1.6521628446893788e+14 1.8359680450529155e-02 -2.6417799224688436e+00
1.6551667771342684e+14 1.8193447729912052e-02 -2.6342647772041503e+00
1.6581707095791584e+14 1.8045687709320728e-02 -2.6226313677237494e+00
1.6611746420240481e+14 1.7874817336494899e-02 -2.6070060550674032e+00
1.6641785744689378e+14 1.7649210358338448e-02 -2.5886540099318114e+00
1.6671825069138275e+14 1.7355490091681542e-02 -2.5695414870658588e+00
1.6701864393587175e+14 1.7001088047023435e-02 -2.5517754073913355e+00
1.6731903718036072e+14 1.6611052772063560e-02 -2.5370344686398703e+00
1.6761943042484969e+14 1.6220088929306140e-02 -2.5260855605883292e+00
1.6791982366933869e+14 1.5861758225212706e-02 -2.5185138308504746e+00
1.6822021691382766e+14 1.5557878391793463e-02 -2.5128143082406229e+00
1.6852061015831662e+14 1.5311770221477908e-02 -2.5068966461173745e+00
1.6882100340280562e+14 1.5108047274425700e-02 -2.4988406313042506e+00
1.6912139664729459e+14 1.4918981064571903e-02 -2.4875743215206430e+00
1.6942178989178356e+14 1.4714652955990899e-02 -2.4731959234810286e+00
1.6972218313627256e+14 1.4472961194182893e-02 -2.4568726153363016e+00
1.7002257638076153e+14 1.4186346687895346e-02 -2.4404264079006022e+00
1.7032296962525050e+14 1.3863688014213837e-02 -2.4257614897058599e+00
1.7062336286973947e+14 1.3527181010327488e-02 -2.4142624113354887e+00
1.7092375611422847e+14 1.3205047368054994e-02 -2.4062936316979950e+00
1.7122414935871744e+14 1.2921974525213875e-02 -2.4009724709624511e+00
