["E0",""]
["N0",""]
["N1",""]
["W0",""]
("W0","mode 1",1,"W0",1,"transmission")
(500, 3)
1.4989622900000000e+14 3.2321543105880847e-02 -3.1098485163460885e+00
1.5019662224448897e+14 3.3636716147386843e-02 -3.1526160145659592e+00
1.5049701548897797e+14 3.5686411408733534e-02 -3.1521627190411783e+00
1.5079740873346694e+14 3.7501307198142653e-02 -3.1090092876622242e+00
1.5109780197795591e+14 3.8296215724894556e-02 -3.0367410190842592e+00
1.5139819522244488e+14 3.7642299916903703e-02 -2.9528041936766223e+00
1.5169858846693388e+14 3.5508566661618952e-02 -2.8761368935764362e+00
1.5199898171142284e+14 3.2275580122401254e-02 -2.8282272199331548e+00
1.5229937495591181e+14 2.8746952137638837e-02 -2.8325932306332553e+00
1.5259976820040081e+14 2.6074911168369998e-02 -2.9030514846502653e+00
1.5290016144488978e+14 2.5318022602043133e-02 -3.0151602037167060e+00
1.5320055468937875e+14 2.6612506601920678e-02 -3.1054200302186290e+00
1.5350094793386775e+14 2.9011402109678949e-02 -3.1312072225258456e+00
1.5380134117835672e+14 3.1294823183406269e-02 -3.0960216911152179e+00
1.5410173442284569e+14 3.2582103016681289e-02 -3.0226842342983407e+00
1.5440212766733466e+14 3.2452854660004415e-02 -2.9348598489843707e+00
1.5470252091182366e+14 3.0911749021939078e-02 -2.8544260753642563e+00
1.5500291415631262e+14 2.8353117881292401e-02 -2.8034407188797288e+00
1.5530330740080159e+14 2.5530514043032630e-02 -2.8033649553871194e+00
1.5560370064529059e+14 2.3435284045260595e-02 -2.8631232987448008e+00
1.5590409388977956e+14 2.2875229012663624e-02 -2.9561452971414584e+00
1.5620448713426853e+14 2.3858752411734688e-02 -3.0270101829762166e+00
1.5650488037875750e+14 2.5583017193709683e-02 -3.0417837026205836e+00
1.5680527362324650e+14 2.7082926960396672e-02 -3.0050832644078675e+00
1.5710566686773547e+14 2.7694323780935805e-02 -2.9383747222563867e+00
1.5740606011222444e+14 2.7158565011364474e-02 -2.8651769360025678e+00
1.5770645335671344e+14 2.5606023817263037e-02 -2.8084944769383928e+00
1.5800684660120241e+14 2.3527548416106121e-02 -2.7906313840953092e+00
1.5830723984569138e+14 2.1704254285878733e-02 -2.8262526099129057e+00
1.5860763309018038e+14 2.0946106569645819e-02 -2.9034070207785745e+00
1.5890802633466934e+14 2.1570350217016105e-02 -2.9760664152643455e+00
1.5920841957915831e+14 2.3123453808984201e-02 -3.0012029226361228e+00
1.5950881282364728e+14 2.4767769057638823e-02 -2.9709840423862515e+00
1.5980920606813628e+14 2.5778435413315853e-02 -2.9011207983353491e+00
1.6010959931262525e+14 2.5739044531498188e-02 -2.8129744808348152e+00
1.6040999255711422e+14 2.4562813846160800e-02 -2.7281427667181815e+00
1.6071038580160322e+14 2.2482846948737038e-02 -2.6696794009599683e+00
1.6101077904609219e+14 2.0050533069942159e-02 -2.6628638476270030e+00
1.6131117229058116e+14 1.8095238371652451e-02 -2.7254669460484329e+00
1.6161156553507012e+14 1.7445368824192949e-02 -2.8380757138703334e+00
1.6191195877955912e+14 1.8315195617699641e-02 -2.9353254695110520e+00
1.6221235202404809e+14 2.0087745094807530e-02 -2.9674309767770000e+00
1.6251274526853706e+14 2.1883643016807754e-02 -2.9348082320971844e+00
1.6281313851302606e+14 2.3048141002804300e-02 -2.8603782757737517e+00
1.6311353175751503e+14 2.3250692042292589e-02 -2.7677816861946449e+00
1.6341392500200400e+14 2.2450233046246614e-02 -2.6776291371873886e+00
1.6371431824649300e+14 2.0855391433821088e-02 -2.6093757769818944e+00
1.6401471149098197e+14 1.8891978194691343e-02 -2.5820856123866522e+00
1.6431510473547094e+14 1.7143432672934847e-02 -2.6087780403563920e+00
1.6461549797995991e+14 1.6177418824402361e-02 -2.6806368990006813e+00
1.6491589122444891e+14 1.6224796567035658e-02 -2.7586090286040035e+00
1.6521628446893788e+14 1.7006405837597320e-02 -2.8016729133591185e+00
1.6551667771342684e+14 1.7981546637771188e-02 -2.7981465618606265e+00
1.6581707095791584e+14 1.8692409525216992e-02 -2.7598980620625668e+00
1.6611746420240481e+14 1.8904340191371678e-02 -2.7053517733026533e+00
1.6641785744689378e+14 1.8602708006863391e-02 -2.6514680562818271e+00
1.6671825069138275e+14 1.7943362359075624e-02 -2.6112887796225910e+00
1.6701864393587175e+14 1.7180134510198293e-02 -2.5917630970470542e+00
1.6731903718036072e+14 1.6564122974036394e-02 -2.5908576680499502e+00
1.6761943042484969e+14 1.6230796432508483e-02 -2.5974231415711326e+00
1.6791982366933869e+14 1.6138423061318335e-02 -2.5975540609695931e+00
1.6822021691382766e+14 1.6112606970047370e-02 -2.5834859878912262e+00
1.6852061015831662e+14 1.5960613196808675e-02 -2.5571429757199953e+00
1.6882100340280562e+14 1.5572596075432666e-02 -2.5276882923719279e+00
1.6912139664729459e+14 1.4970400970773647e-02 -2.5072013773243786e+00
1.6942178989178356e+14 1.4304911092007034e-02 -2.5059252452796552e+00
1.6972218313627256e+14 1.3801237317345904e-02 -2.5261828886949900e+00
1.7002257638076153e+14 1.3648147556004608e-02 -2.5572690080324780e+00
1.7032296962525050e+14 1.3876691430200287e-02 -2.5790896071930263e+00
1.7062336286973947e+14 1.4329838779805787e-02 -2.5752576920622841e+00
1.7092375611422847e+14 1.4752513998195526e-02 -2.5420460790585442e+00
1.7122414935871744e+14 1.4911033640819967e-02 -2.4865678372739839e+00
1.7152454260320641e+14 1.4667620710010576e-02 -2.4214034507533180e+00
1.7182493584769538e+14 1.4009079161505121e-02 -2.3613745524510925e+00
1.7212532909218438e+14 1.3050555223570385e-02 -2.3221585891683114e+00
1.7242572233667334e+14 1.2021423957061324e-02 -2.3177180227514453e+00
1.7272611558116231e+14 1.1215878238351301e-02 -2.3527967462451684e+00
1.7302650882565131e+14 1.0876200499762860e-02 -2.4122673180720495e+00
