["port 1",""]
["port 2",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(300, 3)
1.8737028625000000e+14 4.5115183713570995e-03 -1.2293979823768644e+00
1.8741206334838350e+14 4.6975966283283616e-03 -1.1823846417281341e+00
1.8745384044676700e+14 4.8908965109061963e-03 -1.1361711075102852e+00
1.8749561754515050e+14 5.0913745710200907e-03 -1.0907210883763698e+00
1.8753739464353400e+14 5.2989831727773828e-03 -1.0459974063092168e+00
1.8757917174191750e+14 5.5136706990877452e-03 -1.0019626173984357e+00
1.8762094884030100e+14 5.7353816686487652e-03 -9.5857951047565082e-01
1.8766272593868450e+14 5.9640567799295408e-03 -9.1581149940654394e-01
1.8770450303706800e+14 6.1996328968399218e-03 -8.7362292432117850e-01
1.8774628013545150e+14 6.4420429888186687e-03 -8.3197927600909549e-01
1.8778805723383500e+14 6.6912160361791307e-03 -7.9084735636901415e-01
1.8782983433221850e+14 6.9470769097957474e-03 -7.5019538633494509e-01
1.8787161143060200e+14 7.2095462326839041e-03 -7.0999307121985933e-01
1.8791338852898550e+14 7.4785402296018242e-03 -6.7021163200846290e-01
1.8795516562736900e+14 7.7539705696934571e-03 -6.3082380981434838e-01
1.8799694272575250e+14 8.0357442061147095e-03 -5.9180384955253029e-01
1.8803871982413600e+14 8.3237632158206249e-03 -5.5312746783252875e-01
1.8808049692251950e+14 8.6179246419375959e-03 -5.1477180918361043e-01
1.8812227402090300e+14 8.9181203406400351e-03 -4.7671539395285745e-01
1.8816405111928650e+14 9.2242368339316722e-03 -4.3893806056502360e-01
1.8820582821767000e+14 9.5361551694266213e-03 -4.0142090428940441e-01
1.8824760531605350e+14 9.8537507878803925e-03 -3.6414621420158272e-01
1.8828938241443700e+14 1.0176893399047527e-02 -3.2709740965778888e-01
1.8833115951282050e+14 1.0505446866226563e-02 -2.9025897729066863e-01
1.8837293661120400e+14 1.0839269099747785e-02 -2.5361640928732071e-01
1.8841471370958750e+14 1.1178211959558284e-02 -2.1715614350814455e-01
1.8845649080797100e+14 1.1522121166976025e-02 -1.8086550584701369e-01
1.8849826790635450e+14 1.1870836225665119e-02 -1.4473265510040076e-01
1.8854004500473800e+14 1.2224190351828517e-02 -1.0874653051565010e-01
1.8858182210312150e+14 1.2582010413621166e-02 -7.2896802108686598e-02
1.8862359920150500e+14 1.2944116879764118e-02 -3.7173823779138665e-02
1.8866537629988853e+14 1.3310323777364554e-02 -1.5685892061611138e-03
1.8870715339827203e+14 1.3680438658943410e-02 3.3927309528366201e-02
1.8874893049665553e+14 1.4054262578687117e-02 6.9321720665899464e-02
1.8879070759503903e+14 1.4431590077971859e-02 1.0462196894370522e-01
1.8883248469342253e+14 1.4812209180221797e-02 1.3983488932128427e-01
1.8887426179180603e+14 1.5195901395176303e-02 1.7496685837545409e-01
1.8891603889018953e+14 1.5582441732690142e-02 2.1002382348538828e-01
1.8895781598857303e+14 1.5971598726186999e-02 2.4501132992688934e-01
1.8899959308695653e+14 1.6363134465932003e-02 2.7993454599675205e-01
1.8904137018534003e+14 1.6756804642298315e-02 3.1479828628438522e-01
