["E0",""]
["W0",""]
("E0","mode 1",1,"E0",1,"transmission")
(500, 3)
1.4989622900000000e+14 3.5541117089269561e-02 -3.0545779896452161e+00
1.5019662224448897e+14 3.5089206862650914e-02 -3.0445627888832916e+00
1.5049701548897797e+14 3.4638284236046195e-02 -3.0345915500979941e+00
1.5079740873346694e+14 3.4188751480971197e-02 -3.0246794425523054e+00
1.5109780197795591e+14 3.3741109599615397e-02 -3.0148394223672739e+00
1.5139819522244488e+14 3.3295931036732007e-02 -3.0050814712467186e+00
1.5169858846693388e+14 3.2853828624512166e-02 -2.9954119887265436e+00
1.5199898171142284e+14 3.2415422532042319e-02 -2.9858333753892889e+00
1.5229937495591181e+14 3.1981307097583657e-02 -2.9763438354124943e+00
1.5259976820040081e+14 3.1552019427488330e-02 -2.9669374155060493e+00
1.5290016144488978e+14 3.1128011544928478e-02 -2.9576042841396593e+00
1.5320055468937875e+14 3.0709627666604903e-02 -2.9483312406401923e+00
1.5350094793386775e+14 3.0297087883692991e-02 -2.9391024291659726e+00
1.5380134117835672e+14 2.9890479140258802e-02 -2.9299002188417154e+00
1.5410173442284569e+14 2.9489753960773760e-02 -2.9207061996405423e+00
1.5440212766733466e+14 2.9094736906761422e-02 -2.9115022349981490e+00
1.5470252091182366e+14 2.8705138273343853e-02 -2.9022715075026966e+00
1.5500291415631262e+14 2.8320574102320108e-02 -2.8929994937788353e+00
1.5530330740080159e+14 2.7940591219655860e-02 -2.8836748089320166e+00
1.5560370064529059e+14 2.7564695726520455e-02 -2.8742898692132908e+00
1.5590409388977956e+14 2.7192383200480674e-02 -2.8648413331383491e+00
1.5620448713426853e+14 2.6823168804964003e-02 -2.8553302951116777e+00
1.5650488037875750e+14 2.6456615558234656e-02 -2.8457622205449797e+00
1.5680527362324650e+14 2.6092359168597229e-02 -2.8361466264520514e+00
1.5710566686773547e+14 2.5730128084292755e-02 -2.8264965256412014e+00
1.5740606011222444e+14 2.5369757714742685e-02 -2.8168276652403517e+00
1.5770645335671344e+14 2.5011198133525547e-02 -2.8071576009370465e+00
1.5800684660120241e+14 2.4654514951357565e-02 -2.7975046567453661e+00
1.5830723984569138e+14 2.4299883429696096e-02 -2.7878868262076266e+00
1.5860763309018038e+14 2.3947576274619665e-02 -2.7783206746116793e+00
1.5890802633466934e+14 2.3597945890263445e-02 -2.7688203029631571e+00
1.5920841957915831e+14 2.3251402167045666e-02 -2.7593964329323355e+00
1.5950881282364728e+14 2.2908387119293876e-02 -2.7500556676194527e+00
1.5980920606813628e+14 2.2569347857850912e-02 -2.7407999755549528e+00
1.6010959931262525e+14 2.2234709475799527e-02 -2.7316264348089505e+00
1.6040999255711422e+14 2.1904849431568497e-02 -2.7225272605470834e+00
1.6071038580160322e+14 2.1580074929176577e-02 -2.7134901232946480e+00
1.6101077904609219e+14 2.1260604620604036e-02 -2.7044987473500961e+00
1.6131117229058116e+14 2.0946555696740768e-02 -2.6955337604027503e+00
1.6161156553507012e+14 2.0637937104307478e-02 -2.6865737479012339e+00
1.6191195877955912e+14 2.0334649246518014e-02 -2.6775964506495482e+00
1.6221235202404809e+14 2.0036490120439614e-02 -2.6685800329619092e+00
1.6251274526853706e+14 1.9743167442705940e-02 -2.6595043426144231e+00
1.6281313851302606e+14 1.9454315947004759e-02 -2.6503520834750534e+00
1.6311353175751503e+14 1.9169518727981342e-02 -2.6411098270719280e+00
1.6341392500200400e+14 1.8888331278125284e-02 -2.6317687999428561e+00
1.6371431824649300e+14 1.8610306730628783e-02 -2.6223253982801791e+00
1.6401471149098197e+14 1.8335020786534231e-02 -2.6127813987800930e+00
1.6431510473547094e+14 1.8062094866017713e-02 -2.6031438532137532e+00
1.6461549797995991e+14 1.7791216170692112e-02 -2.5934246726851313e+00
1.6491589122444891e+14 1.7522153561013151e-02 -2.5836399247201816e+00
1.6521628446893788e+14 1.7254768422457031e-02 -2.5738088814708422e+00
1.6551667771342684e+14 1.6989019997124922e-02 -2.5639528699824896e+00
1.6581707095791584e+14 1.6724964976143848e-02 -2.5540939854841960e+00
1.6611746420240481e+14 1.6462751466645081e-02 -2.5442537359836850e+00
1.6641785744689378e+14 1.6202607751236768e-02 -2.5344516910481065e+00
1.6671825069138275e+14 1.5944826535626486e-02 -2.5247042094170591e+00
1.6701864393587175e+14 1.5689745620591819e-02 -2.5150233187864437e+00
1.6731903718036072e+14 1.5437726127725246e-02 -2.5054158163394846e+00
1.6761943042484969e+14 1.5189129544834628e-02 -2.4958826500036677e+00
1.6791982366933869e+14 1.4944294927875322e-02 -2.4864186276905875e+00
1.6822021691382766e+14 1.4703517594477352e-02 -2.4770124849434274e+00
1.6852061015831662e+14 1.4467030565248278e-02 -2.4676473209325436e+00
1.6882100340280562e+14 1.4234989852426853e-02 -2.4583013896340034e+00
1.6912139664729459e+14 1.4007464466761058e-02 -2.4489492088806948e+00
1.6942178989178356e+14 1.3784431723888841e-02 -2.4395629268332923e+00
1.6972218313627256e+14 1.3565778099269029e-02 -2.4301138655184089e+00
1.7002257638076153e+14 1.3351305528933165e-02 -2.4205741465134021e+00
1.7032296962525050e+14 1.3140742708385300e-02 -2.4109182962833327e+00
1.7062336286973947e+14 1.2933760630480372e-02 -2.4011247289084352e+00
1.7092375611422847e+14 1.2729991348624433e-02 -2.3911770119757505e+00
1.7122414935871744e+14 1.2529048772172232e-02 -2.3810648362294429e+00
1.7152454260320641e+14 1.2330550206618740e-02 -2.3707846295729480e+00
1.7182493584769538e+14 1.2134137344263092e-02 -2.3603397790752001e+00
1.7212532909218438e+14 1.1939495485815283e-02 -2.3497404486898765e+00
1.7242572233667334e+14 1.1746369918134643e-02 -2.3390030035774920e+00
1.7272611558116231e+14 1.1554578572809993e-02 -2.3281490729147114e+00
1.7302650882565131e+14 1.1364020327366784e-02 -2.3172043010758037e+00
1.7332690207014028e+14 1.1174678569448943e-02 -2.3061968518209679e+00
1.7362729531462925e+14 1.0986619909555830e-02 -2.2951557417123860e+00
1.7392768855911825e+14 1.0799988187977430e-02 -2.2841090876235968e+00
1.7422808180360722e+14 1.0614994166505761e-02 -2.2730823590759628e+00
1.7452847504809619e+14 1.0431901517438285e-02 -2.2620967291265499e+00
1.7482886829258519e+14 1.0251009914037481e-02 -2.2511676172649295e+00
1.7512926153707416e+14 1.0072636181298875e-02 -2.2403035134961882e+00
1.7542965478156312e+14 9.8970945758483017e-03 -2.2295051636753311e+00
1.7573004802605209e+14 9.7246773218627076e-03 -2.2187651813819742e+00
1.7603044127054109e+14 9.5556365288301109e-03 -2.2080681308130812e+00
1.7633083451503006e+14 9.3901685511986101e-03 -2.1973910986272860e+00
1.7663122775951903e+14 9.2284017178846031e-03 -2.1867047416015626e+00
1.7693162100400800e+14 9.0703881638889983e-03 -2.1759747635846174e+00
1.7723201424849700e+14 8.9161002463442295e-03 -2.1651637425540300e+00
1.7753240749298597e+14 8.7654317385909147e-03 -2.1542332000820017e+00
1.7783280073747494e+14 8.6182036897168406e-03 -2.1431457844868711e+00
1.7813319398196394e+14 8.4741745374261948e-03 -2.1318674280133090e+00
1.7843358722645291e+14 8.3330537941549258e-03 -2.1203693388869174e+00
1.7873398047094188e+14 8.1945184116544584e-03 -2.1086297008650816e+00
1.7903437371543088e+14 8.0582307835758895e-03 -2.0966349743596777e+00
1.7933476695991984e+14 7.9238572772276326e-03 -2.0843807215795001e+00
1.7963516020440881e+14 7.7910861944215501e-03 -2.0718719101646066e+00
1.7993555344889781e+14 7.6596441398419811e-03 -2.0591226821810555e+00
1.8023594669338678e+14 7.5293099109543880e-03 -2.0461556054959220e+00
1.8053633993787575e+14 7.3999252006302944e-03 -2.0330004507050123e+00
1.8083673318236472e+14 7.2714016062982792e-03 -2.0196925582021579e+00
1.8113712642685372e+14 7.1437236535054401e-03 -2.0062708768327577e+00
1.8143751967134269e+14 7.0169477555352428e-03 -1.9927757685431713e+00
1.8173791291583166e+14 6.8911972358245812e-03 -1.9792466834344873e+00
1.8203830616032062e+14 6.7666537308444605e-03 -1.9657198173266055e+00
1.8233869940480962e+14 6.6435454636595273e-03 -1.9522258694983441e+00
1.8263909264929859e+14 6.5221330297443843e-03 -1.9387880211505597e+00
1.8293948589378756e+14 6.4026934627032222e-03 -1.9254202541114129e+00
1.8323987913827656e+14 6.2855034436896193e-03 -1.9121261225714619e+00
1.8354027238276553e+14 6.1708225779933124e-03 -1.8988980763041383e+00
1.8384066562725450e+14 6.0588776779887804e-03 -1.8857174103721026e+00
1.8414105887174350e+14 5.9498489565313331e-03 -1.8725548832117105e+00
1.8444145211623247e+14 5.8438589436363613e-03 -1.8593720032013494e+00
1.8474184536072144e+14 5.7409647909876134e-03 -1.8461229361441303e+00
1.8504223860521044e+14 5.6411544284185175e-03 -1.8327569370065386e+00
1.8534263184969941e+14 5.5443467954581103e-03 -1.8192211643292497e+00
1.8564302509418838e+14 5.4503961073606912e-03 -1.8054637007966727e+00
1.8594341833867738e+14 5.3590998509634559e-03 -1.7914365833077031e+00
1.8624381158316634e+14 5.2702099653604744e-03 -1.7770986433876776e+00
1.8654420482765531e+14 5.1834464669270460e-03 -1.7624179741152723e+00
1.8684459807214428e+14 5.0985126443714255e-03 -1.7473738704434441e+00
1.8714499131663325e+14 5.0151108849812217e-03 -1.7319581313163375e+00
1.8744538456112225e+14 4.9329581984251169e-03 -1.7161756586781327e+00
1.8774577780561122e+14 4.8518005713588386e-03 -1.7000443348091590e+00
1.8804617105010019e+14 4.7714254018532878e-03 -1.6835942009549778e+00
1.8834656429458919e+14 4.6916714113396088e-03 -1.6668659942082069e+00
1.8864695753907816e+14 4.6124355983474573e-03 -1.6499091253061096e+00
1.8894735078356712e+14 4.5336769691588803e-03 -1.6327791981712145e+00
1.8924774402805612e+14 4.4554169463563737e-03 -1.6155351846736834e+00
1.8954813727254509e+14 4.3777365110986505e-03 -1.5982363774786694e+00
1.8984853051703406e+14 4.3007702766032106e-03 -1.5809392520784900e+00
1.9014892376152306e+14 4.2246978184484994e-03 -1.5636943773390768e+00
1.9044931700601203e+14 4.1497327026521307e-03 -1.5465435220459529e+00
1.9074971025050100e+14 4.0761097554178043e-03 -1.5295171114744921e+00
1.9105010349499000e+14 4.0040712072159455e-03 -1.5126321900551802e+00
1.9135049673947897e+14 3.9338524145549319e-03 -1.4958910399728758e+00
1.9165088998396794e+14 3.8656679088290321e-03 -1.4792805871126256e+00
1.9195128322845691e+14 3.7996985344172819e-03 -1.4627726920909347e+00
1.9225167647294588e+14 3.7360804089521370e-03 -1.4463253742159270e+00
