["E0",""]
["W0",""]
("W0","mode 1",1,"W0",1,"transmission")
(500, 3)
1.4989622900000000e+14 8.9341947736860561e-01 -8.4122747583289192e-01
1.5019662224448897e+14 9.0088231010373154e-01 -8.3406737824136168e-01
1.5049701548897797e+14 9.0836475987088161e-01 -8.2687619058388628e-01
1.5079740873346694e+14 9.1586860347366827e-01 -8.1965434825359351e-01
1.5109780197795591e+14 9.2339537337462141e-01 -8.1240170611982454e-01
1.5139819522244488e+14 9.3094622140324212e-01 -8.0511765529544554e-01
1.5169858846693388e+14 9.3852180852079037e-01 -7.9780126921493655e-01
1.5199898171142284e+14 9.4612222830197557e-01 -7.9045146937656630e-01
1.5229937495591181e+14 9.5374696968571437e-01 -7.8306719981366957e-01
1.5259976820040081e+14 9.6139492201857901e-01 -7.7564759878165512e-01
1.5290016144488978e+14 9.6906442262380244e-01 -7.6819215633365812e-01
1.5320055468937875e+14 9.7675334426123506e-01 -7.6070084741097022e-01
1.5350094793386775e+14 9.8445921710170547e-01 -7.5317423173916598e-01
1.5380134117835672e+14 9.9217937742458961e-01 -7.4561351408567456e-01
1.5410173442284569e+14 9.9991113334423742e-01 -7.3802056113838210e-01
1.5440212766733466e+14 1.0076519366279222e+00 -7.3039787421113900e-01
1.5470252091182366e+14 1.0153995491836973e+00 -7.2274851995421252e-01
1.5500291415631262e+14 1.0231521931098904e+00 -7.1507602403195891e-01
1.5530330740080159e+14 1.0309086742844156e+00 -7.0738423513008220e-01
1.5560370064529059e+14 1.0386684712477923e+00 -6.9967716851298367e-01
1.5590409388977956e+14 1.0464317834643879e+00 -6.9195883955518689e-01
1.5620448713426853e+14 1.0541995357615757e+00 -6.8423309816111855e-01
1.5650488037875750e+14 1.0619733386553156e+00 -6.7650347475708728e-01
1.5680527362324650e+14 1.0697554071776512e+00 -6.6877304762851408e-01
1.5710566686773547e+14 1.0775484435403677e+00 -6.6104433986362965e-01
1.5740606011222444e+14 1.0853554913324488e+00 -6.5331925216150377e-01
1.5770645335671344e+14 1.0931797708170365e+00 -6.4559903539825003e-01
1.5800684660120241e+14 1.1010245061563846e+00 -6.3788430426534881e-01
1.5830723984569138e+14 1.1088927559754316e+00 -6.3017509065072119e-01
