["E0",""]
["W0",""]
("E0","mode 1",1,"E0",1,"transmission")
(500, 3)
1.4989622900000000e+14 3.5553835496088496e-02 -3.0577709426522519e+00
1.5019662224448897e+14 3.5127037288969022e-02 -3.0477925665232370e+00
1.5049701548897797e+14 3.4700965084471444e-02 -3.0377068730574170e+00
1.5079740873346694e+14 3.4274891764322267e-02 -3.0275262780324268e+00
1.5109780197795591e+14 3.3848222357865033e-02 -3.0172680559425173e+00
1.5139819522244488e+14 3.3420519504287288e-02 -3.0069537501785160e+00
1.5169858846693388e+14 3.2991522426937127e-02 -2.9966084098594310e+00
1.5199898171142284e+14 3.2561158760095181e-02 -2.9862596788213662e+00
1.5229937495591181e+14 3.2129548839225711e-02 -2.9759367661483913e+00
1.5259976820040081e+14 3.1697002336855913e-02 -2.9656693309074020e+00
1.5290016144488978e+14 3.1264007391673135e-02 -2.9554863166488654e+00
1.5320055468937875e+14 3.0831212635107179e-02 -2.9454147739044183e+00
1.5350094793386775e+14 3.0399402764358593e-02 -2.9354787113533285e+00
1.5380134117835672e+14 2.9969468541165625e-02 -2.9256980183812953e+00
1.5410173442284569e+14 2.9542372307819632e-02 -2.9160875030935527e+00
1.5440212766733466e+14 2.9119110300672414e-02 -2.9066560899742009e+00
1.5470252091182366e+14 2.8700673199228720e-02 -2.8974062197497159e+00
1.5500291415631262e+14 2.8288006466110245e-02 -2.8883334900155155e+00
1.5530330740080159e+14 2.7881972098644129e-02 -2.8794265683649436e+00
1.5560370064529059e+14 2.7483313415157123e-02 -2.8706673998548475e+00
1.5590409388977956e+14 2.7092624427880959e-02 -2.8620317177620693e+00
1.5620448713426853e+14 2.6710325203571972e-02 -2.8534898512425424e+00
1.5650488037875750e+14 2.6336644380703225e-02 -2.8450078066607514e+00
1.5680527362324650e+14 2.5971609704861665e-02 -2.8365485823535974e+00
1.5710566686773547e+14 2.5615047075192441e-02 -2.8280736609948756e+00
1.5740606011222444e+14 2.5266588185268002e-02 -2.8195446111257909e+00
1.5770645335671344e+14 2.4925686418673067e-02 -2.8109247211725492e+00
1.5800684660120241e+14 2.4591640252161356e-02 -2.8021805862860960e+00
1.5830723984569138e+14 2.4263623056502367e-02 -2.7932835709150043e+00
1.5860763309018038e+14 2.3940717892043346e-02 -2.7842110777832936e+00
1.5890802633466934e+14 2.3621955690280742e-02 -2.7749475659380161e+00
